key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code,
1965,2405580,LA PORTE COMMUNITY SCH CORPORATI,910 HARRISON STREET,La Porte,LaPorte,Indiana,46350,HAROLD HARGRAVE,16,0,155,0,35,7636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,1,26,0,0,0,197568495628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1966,2406570,MICHIGAN CITY AREA SCHOOLS,609 LAFAYETTE STREET,MICHIGAN CITY,LaPorte,Indiana,4636,"ARA K. SMITH, SUPERI",21,4,1919,8,38,11088,0,0,0,0,0,0,0,0,0,0,0,19,2,0,528,0,0,1,0,0,34,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1967,2407470,NEW DURHAM TOWNSHIP,VALPARAISO STREET,Westville,LaPorte,Indiana,46391,PRINCIPAL KENNETH BL,1,0,0,9,6,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,2.37684487542793E+029,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1968,2407560,PRAIRIE UNITED SCHOOL CORPOR,,Rolling Prairie,LaPorte,Indiana,4637,"LEO W. ARVIN, SUPERI",6,2,7,3,62,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,1,8,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1969,2406900,MITCHELL COMMUNITY S    LS,PORTLAND STREET,Mitchell,Lawrence,Indiana,47446,JACK E. BOWMAN,5,0,9,0,0,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,7,0,0,0,201863462919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1970,2407860,NORTH LAWRENCE COMMUNITY SCHOOLS,222 8TH STREET,Bedford,Lawrence,Indiana,47421,"DR. DAN A. SCHAFER,",14,1,19,0,0,6681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,19,0,0,0,701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1971,2400120,ALEXANDRIA COMMUNITY SCHOOL CORP,115 EAST CHURCH ST.,Alexandria,Madison,Indiana,4600,"THOMAS THOMAS, JR.",5,0,0,0,34,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1972,2400150,ANDERSON SCHOOL CITY,528 WEST 11TH STREET,Anderson,Madison,Indiana,46016,"G. E. EBBERTT, SUPER",29,8,2205,4,11,14980,0,0,0,0,0,0,0,0,0,0,0,10,0,0,730,0,0,1,0,0,45,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1973,2403300,ELWOOD SCHOOL CITY,1630 E MAIN STREET,Elwood,Madison,Indiana,4603,"KEITH SCOTT, SUPERIN",5,0,0,0,41,2984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,1,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1974,2404860,JACKSON TOWNSHIP,RR #6 BOX 4281/2,Anderson,Madison,Indiana,46011,"VICTOR M. EVANS, CO.",1,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7.13053462628379E+029,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
